rank,filename,window_start,window_end,frequency,sequence_count,matched,frequency_score,sequence_score,combined_score,support,mean_max_consecutive_same_source,mean_max_consecutive_same_target,mean_tracing_count,mean_cycle_count,mean_max_consecutive_same_category,mean_sparsity
1,T4YH,264,293,57,22,"{""TTMD"": [{""window_start"": 282, ""window_end"": 317, ""distance"": 1.29}, {""window_start"": 291, ""window_end"": 320, ""distance"": 2.1}], ""F6RP"": [{""window_start"": 285, ""window_end"": 320, ""distance"": 1.02}, {""window_start"": 294, ""window_end"": 323, ""distance"": 0.94}], ""J2RZ"": [{""window_start"": 288, ""window_end"": 317, ""distance"": 1.0}], ""P3XV"": [{""window_start"": 246, ""window_end"": 281, ""distance"": 1.42}, {""window_start"": 255, ""window_end"": 284, ""distance"": 1.54}], ""BCFH"": [{""window_start"": 255, ""window_end"": 290, ""distance"": 1.93}, {""window_start"": 264, ""window_end"": 296, ""distance"": 1.69}, {""window_start"": 378, ""window_end"": 410, ""distance"": 2.12}], ""B3BV"": [{""window_start"": 18, ""window_end"": 50, ""distance"": 1.69}], ""H634"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 1.66}, {""window_start"": 51, ""window_end"": 86, ""distance"": 1.65}], ""DDKT"": [{""window_start"": 15, ""window_end"": 50, ""distance"": 1.8}], ""KH2X"": [{""window_start"": 213, ""window_end"": 242, ""distance"": 1.55}, {""window_start"": 357, ""window_end"": 392, ""distance"": 1.88}, {""window_start"": 447, ""window_end"": 476, ""distance"": 1.96}], ""4PFM"": [{""window_start"": 36, ""window_end"": 68, ""distance"": 1.83}], ""9CKC"": [{""window_start"": 9, ""window_end"": 41, ""distance"": 1.72}], ""MBBW"": [{""window_start"": 87, ""window_end"": 122, ""distance"": 1.98}], ""WY9R"": [{""window_start"": 60, ""window_end"": 89, ""distance"": 1.86}], ""YK69"": [{""window_start"": 12, ""window_end"": 41, ""distance"": 1.9}], ""GWWD"": [{""window_start"": 93, ""window_end"": 128, ""distance"": 2.08}, {""window_start"": 102, ""window_end"": 131, ""distance"": 2.14}], ""D2RK"": [{""window_start"": 87, ""window_end"": 119, ""distance"": 2.0}], ""FCG6"": [{""window_start"": 3, ""window_end"": 32, ""distance"": 2.06}], ""T4PK"": [{""window_start"": 39, ""window_end"": 68, ""distance"": 2.06}], ""TTRG"": [{""window_start"": 324, ""window_end"": 353, ""distance"": 2.11}], ""VGBM"": [{""window_start"": 0, ""window_end"": 29, ""distance"": 2.12}], ""XHP3"": [{""window_start"": 27, ""window_end"": 56, ""distance"": 2.15}], ""MBKT"": [{""window_start"": 39, ""window_end"": 68, ""distance"": 2.16}, {""window_start"": 51, ""window_end"": 80, ""distance"": 2.17}]}",0.92,1.0,0.96,0.2268,0.0,0.0,0.0,0.0,0.5667,0.983
2,F6RP,294,323,59,21,"{""T4YH"": [{""window_start"": 264, ""window_end"": 296, ""distance"": 0.69}], ""P3XV"": [{""window_start"": 246, ""window_end"": 281, ""distance"": 1.27}, {""window_start"": 255, ""window_end"": 284, ""distance"": 1.22}], ""TTMD"": [{""window_start"": 282, ""window_end"": 317, ""distance"": 1.36}, {""window_start"": 291, ""window_end"": 320, ""distance"": 2.02}], ""J2RZ"": [{""window_start"": 288, ""window_end"": 323, ""distance"": 1.81}], ""H634"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 1.54}, {""window_start"": 51, ""window_end"": 86, ""distance"": 1.75}], ""KH2X"": [{""window_start"": 213, ""window_end"": 242, ""distance"": 1.81}, {""window_start"": 357, ""window_end"": 392, ""distance"": 1.79}, {""window_start"": 447, ""window_end"": 476, ""distance"": 1.89}], ""VGBM"": [{""window_start"": 0, ""window_end"": 29, ""distance"": 1.67}], ""DDKT"": [{""window_start"": 15, ""window_end"": 50, ""distance"": 1.77}], ""BCFH"": [{""window_start"": 258, ""window_end"": 293, ""distance"": 1.88}, {""window_start"": 267, ""window_end"": 296, ""distance"": 1.85}, {""window_start"": 378, ""window_end"": 413, ""distance"": 2.03}], ""GWWD"": [{""window_start"": 96, ""window_end"": 131, ""distance"": 1.94}], ""MBBW"": [{""window_start"": 87, ""window_end"": 122, ""distance"": 1.94}], ""9CKC"": [{""window_start"": 9, ""window_end"": 44, ""distance"": 1.85}], ""4PFM"": [{""window_start"": 36, ""window_end"": 71, ""distance"": 1.98}], ""D2RK"": [{""window_start"": 87, ""window_end"": 119, ""distance"": 1.96}], ""B3BV"": [{""window_start"": 18, ""window_end"": 50, ""distance"": 1.94}], ""XHP3"": [{""window_start"": 27, ""window_end"": 56, ""distance"": 2.0}], ""TTRG"": [{""window_start"": 324, ""window_end"": 356, ""distance"": 2.04}], ""YK69"": [{""window_start"": 12, ""window_end"": 41, ""distance"": 2.05}], ""WY9R"": [{""window_start"": 60, ""window_end"": 92, ""distance"": 2.08}], ""T4PK"": [{""window_start"": 39, ""window_end"": 68, ""distance"": 2.14}], ""MBKT"": [{""window_start"": 39, ""window_end"": 68, ""distance"": 2.18}]}",0.95,0.95,0.95,0.2165,0.0,0.0,0.0,0.0,0.6667,0.9557
3,J2RZ,288,317,53,20,"{""F6RP"": [{""window_start"": 282, ""window_end"": 314, ""distance"": 1.65}, {""window_start"": 291, ""window_end"": 323, ""distance"": 0.97}], ""T4YH"": [{""window_start"": 264, ""window_end"": 296, ""distance"": 1.12}], ""P3XV"": [{""window_start"": 246, ""window_end"": 281, ""distance"": 1.22}, {""window_start"": 255, ""window_end"": 284, ""distance"": 1.4}], ""TTMD"": [{""window_start"": 282, ""window_end"": 317, ""distance"": 1.63}], ""H634"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 1.44}, {""window_start"": 51, ""window_end"": 83, ""distance"": 1.7}], ""BCFH"": [{""window_start"": 255, ""window_end"": 290, ""distance"": 1.92}, {""window_start"": 264, ""window_end"": 296, ""distance"": 1.81}, {""window_start"": 378, ""window_end"": 410, ""distance"": 1.73}], ""D2RK"": [{""window_start"": 87, ""window_end"": 119, ""distance"": 1.79}], ""YK69"": [{""window_start"": 12, ""window_end"": 41, ""distance"": 1.76}], ""GWWD"": [{""window_start"": 93, ""window_end"": 128, ""distance"": 1.85}, {""window_start"": 102, ""window_end"": 131, ""distance"": 2.02}], ""TTRG"": [{""window_start"": 321, ""window_end"": 353, ""distance"": 1.94}], ""DDKT"": [{""window_start"": 15, ""window_end"": 50, ""distance"": 2.02}], ""KH2X"": [{""window_start"": 213, ""window_end"": 242, ""distance"": 1.9}, {""window_start"": 357, ""window_end"": 389, ""distance"": 1.92}, {""window_start"": 447, ""window_end"": 476, ""distance"": 2.02}], ""4PFM"": [{""window_start"": 36, ""window_end"": 68, ""distance"": 2.0}], ""MBKT"": [{""window_start"": 78, ""window_end"": 110, ""distance"": 2.02}], ""MBBW"": [{""window_start"": 90, ""window_end"": 122, ""distance"": 2.1}], ""9CKC"": [{""window_start"": 9, ""window_end"": 41, ""distance"": 2.05}], ""XHP3"": [{""window_start"": 27, ""window_end"": 56, ""distance"": 2.05}], ""B3BV"": [{""window_start"": 18, ""window_end"": 47, ""distance"": 2.06}], ""VGBM"": [{""window_start"": 0, ""window_end"": 29, ""distance"": 2.13}], ""WY9R"": [{""window_start"": 90, ""window_end"": 119, ""distance"": 2.14}]}",0.85,0.91,0.88,0.2062,0.0,0.0,0.0,0.0,0.6,0.9677
4,TTMD,282,311,51,20,"{""T4YH"": [{""window_start"": 264, ""window_end"": 296, ""distance"": 0.7}], ""F6RP"": [{""window_start"": 285, ""window_end"": 320, ""distance"": 1.09}, {""window_start"": 294, ""window_end"": 323, ""distance"": 1.0}], ""J2RZ"": [{""window_start"": 288, ""window_end"": 317, ""distance"": 1.03}], ""P3XV"": [{""window_start"": 246, ""window_end"": 281, ""distance"": 1.48}, {""window_start"": 255, ""window_end"": 284, ""distance"": 1.53}], ""BCFH"": [{""window_start"": 255, ""window_end"": 290, ""distance"": 1.93}, {""window_start"": 264, ""window_end"": 296, ""distance"": 1.72}, {""window_start"": 378, ""window_end"": 407, ""distance"": 2.12}], ""H634"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 1.69}, {""window_start"": 51, ""window_end"": 86, ""distance"": 1.65}, {""window_start"": 60, ""window_end"": 89, ""distance"": 2.2}], ""B3BV"": [{""window_start"": 18, ""window_end"": 50, ""distance"": 1.76}], ""DDKT"": [{""window_start"": 15, ""window_end"": 50, ""distance"": 1.82}], ""KH2X"": [{""window_start"": 213, ""window_end"": 242, ""distance"": 1.65}, {""window_start"": 357, ""window_end"": 392, ""distance"": 1.93}, {""window_start"": 447, ""window_end"": 476, ""distance"": 2.04}], ""9CKC"": [{""window_start"": 9, ""window_end"": 41, ""distance"": 1.78}], ""4PFM"": [{""window_start"": 36, ""window_end"": 68, ""distance"": 1.88}], ""MBBW"": [{""window_start"": 87, ""window_end"": 122, ""distance"": 1.98}], ""WY9R"": [{""window_start"": 60, ""window_end"": 89, ""distance"": 1.94}], ""GWWD"": [{""window_start"": 93, ""window_end"": 128, ""distance"": 2.08}], ""YK69"": [{""window_start"": 12, ""window_end"": 41, ""distance"": 1.94}], ""T4PK"": [{""window_start"": 39, ""window_end"": 68, ""distance"": 1.96}], ""D2RK"": [{""window_start"": 87, ""window_end"": 119, ""distance"": 2.01}], ""VGBM"": [{""window_start"": 0, ""window_end"": 29, ""distance"": 2.11}], ""MBKT"": [{""window_start"": 51, ""window_end"": 80, ""distance"": 2.12}], ""TTRG"": [{""window_start"": 324, ""window_end"": 353, ""distance"": 2.16}]}",0.82,0.91,0.87,0.2062,0.0,0.0,0.0,0.0,0.2833,0.9493
5,MBKT,51,80,62,16,"{""H634"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 1.52}, {""window_start"": 51, ""window_end"": 86, ""distance"": 0.94}, {""window_start"": 60, ""window_end"": 89, ""distance"": 0.38}], ""D2RK"": [{""window_start"": 84, ""window_end"": 119, ""distance"": 1.62}], ""TTRG"": [{""window_start"": 114, ""window_end"": 146, ""distance"": 1.59}], ""BCFH"": [{""window_start"": 129, ""window_end"": 158, ""distance"": 1.75}, {""window_start"": 237, ""window_end"": 272, ""distance"": 2.08}, {""window_start"": 249, ""window_end"": 284, ""distance"": 2.17}, {""window_start"": 267, ""window_end"": 302, ""distance"": 1.78}, {""window_start"": 276, ""window_end"": 305, ""distance"": 1.96}, {""window_start"": 399, ""window_end"": 431, ""distance"": 1.65}], ""MBBW"": [{""window_start"": 111, ""window_end"": 146, ""distance"": 1.89}], ""9CKC"": [{""window_start"": 342, ""window_end"": 371, ""distance"": 1.67}], ""KH2X"": [{""window_start"": 372, ""window_end"": 404, ""distance"": 1.77}], ""TTMD"": [{""window_start"": 282, ""window_end"": 317, ""distance"": 1.91}, {""window_start"": 291, ""window_end"": 326, ""distance"": 2.07}, {""window_start"": 300, ""window_end"": 335, ""distance"": 1.99}, {""window_start"": 309, ""window_end"": 341, ""distance"": 2.12}, {""window_start"": 321, ""window_end"": 353, ""distance"": 1.99}], ""4FH6"": [{""window_start"": 378, ""window_end"": 407, ""distance"": 1.85}], ""GWWD"": [{""window_start"": 81, ""window_end"": 116, ""distance"": 2.02}, {""window_start"": 90, ""window_end"": 119, ""distance"": 2.17}, {""window_start"": 228, ""window_end"": 263, ""distance"": 1.98}], ""24PR"": [{""window_start"": 96, ""window_end"": 128, ""distance"": 1.94}], ""3Y4K"": [{""window_start"": 474, ""window_end"": 503, ""distance"": 1.92}], ""KCDH"": [{""window_start"": 21, ""window_end"": 50, ""distance"": 1.93}], ""F6RP"": [{""window_start"": 90, ""window_end"": 122, ""distance"": 2.03}], ""T4YH"": [{""window_start"": 264, ""window_end"": 296, ""distance"": 2.1}], ""CTVZ"": [{""window_start"": 81, ""window_end"": 116, ""distance"": 2.14}]}",1.0,0.73,0.86,0.1649,1.0,0.0,0.0,0.0,0.0,0.7173
6,P3XV,252,281,54,18,"{""F6RP"": [{""window_start"": 285, ""window_end"": 320, ""distance"": 1.36}, {""window_start"": 294, ""window_end"": 323, ""distance"": 0.83}], ""T4YH"": [{""window_start"": 264, ""window_end"": 299, ""distance"": 1.64}], ""J2RZ"": [{""window_start"": 288, ""window_end"": 323, ""distance"": 1.6}], ""TTMD"": [{""window_start"": 282, ""window_end"": 317, ""distance"": 1.49}, {""window_start"": 291, ""window_end"": 320, ""distance"": 2.07}], ""H634"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 1.49}, {""window_start"": 51, ""window_end"": 86, ""distance"": 1.79}], ""GWWD"": [{""window_start"": 96, ""window_end"": 131, ""distance"": 1.87}], ""BCFH"": [{""window_start"": 258, ""window_end"": 293, ""distance"": 1.93}, {""window_start"": 267, ""window_end"": 296, ""distance"": 1.83}, {""window_start"": 378, ""window_end"": 413, ""distance"": 1.9}], ""TTRG"": [{""window_start"": 324, ""window_end"": 356, ""distance"": 1.9}], ""KH2X"": [{""window_start"": 213, ""window_end"": 242, ""distance"": 2.14}, {""window_start"": 357, ""window_end"": 392, ""distance"": 1.92}, {""window_start"": 447, ""window_end"": 476, ""distance"": 1.83}], ""DDKT"": [{""window_start"": 15, ""window_end"": 50, ""distance"": 2.0}], ""D2RK"": [{""window_start"": 87, ""window_end"": 119, ""distance"": 1.94}], ""4PFM"": [{""window_start"": 39, ""window_end"": 71, ""distance"": 1.98}], ""VGBM"": [{""window_start"": 0, ""window_end"": 32, ""distance"": 2.08}], ""XHP3"": [{""window_start"": 27, ""window_end"": 56, ""distance"": 1.99}], ""9CKC"": [{""window_start"": 12, ""window_end"": 44, ""distance"": 2.05}], ""MBKT"": [{""window_start"": 81, ""window_end"": 113, ""distance"": 2.05}], ""MBBW"": [{""window_start"": 90, ""window_end"": 125, ""distance"": 2.1}], ""YK69"": [{""window_start"": 12, ""window_end"": 41, ""distance"": 2.11}]}",0.87,0.82,0.84,0.1856,0.0,0.0,0.0,0.0,0.689,0.9633
7,X2MP,276,305,60,15,"{""T4YH"": [{""window_start"": 225, ""window_end"": 260, ""distance"": 1.29}, {""window_start"": 234, ""window_end"": 266, ""distance"": 1.68}], ""F6RP"": [{""window_start"": 276, ""window_end"": 308, ""distance"": 1.34}], ""TTMD"": [{""window_start"": 303, ""window_end"": 338, ""distance"": 1.75}, {""window_start"": 312, ""window_end"": 347, ""distance"": 1.36}, {""window_start"": 321, ""window_end"": 353, ""distance"": 1.74}, {""window_start"": 465, ""window_end"": 500, ""distance"": 1.88}, {""window_start"": 474, ""window_end"": 506, ""distance"": 1.68}], ""DF7J"": [{""window_start"": 66, ""window_end"": 101, ""distance"": 1.58}, {""window_start"": 75, ""window_end"": 104, ""distance"": 1.7}], ""MGT4"": [{""window_start"": 186, ""window_end"": 221, ""distance"": 1.89}, {""window_start"": 195, ""window_end"": 224, ""distance"": 1.53}], ""9CKC"": [{""window_start"": 357, ""window_end"": 392, ""distance"": 1.99}], ""BCFH"": [{""window_start"": 243, ""window_end"": 278, ""distance"": 1.98}, {""window_start"": 276, ""window_end"": 305, ""distance"": 1.96}, {""window_start"": 294, ""window_end"": 329, ""distance"": 2.1}, {""window_start"": 303, ""window_end"": 332, ""distance"": 2.19}, {""window_start"": 399, ""window_end"": 431, ""distance"": 1.98}, {""window_start"": 408, ""window_end"": 437, ""distance"": 2.2}], ""CTVZ"": [{""window_start"": 81, ""window_end"": 116, ""distance"": 1.96}], ""KYVM"": [{""window_start"": 288, ""window_end"": 323, ""distance"": 1.94}, {""window_start"": 300, ""window_end"": 329, ""distance"": 2.02}], ""KH2X"": [{""window_start"": 342, ""window_end"": 371, ""distance"": 1.83}], ""4FH6"": [{""window_start"": 150, ""window_end"": 179, ""distance"": 1.88}, {""window_start"": 378, ""window_end"": 407, ""distance"": 1.84}], ""P3XV"": [{""window_start"": 240, ""window_end"": 269, ""distance"": 1.91}], ""WCYT"": [{""window_start"": 237, ""window_end"": 272, ""distance"": 2.12}], ""J2RZ"": [{""window_start"": 264, ""window_end"": 293, ""distance"": 2.06}], ""GWWD"": [{""window_start"": 81, ""window_end"": 113, ""distance"": 2.18}, {""window_start"": 231, ""window_end"": 260, ""distance"": 2.1}]}",0.97,0.68,0.82,0.1546,0.0,0.0,0.0,0.0,0.3667,0.9817
8,H634,60,89,57,16,"{""MBKT"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 2.04}, {""window_start"": 51, ""window_end"": 83, ""distance"": 0.93}], ""BCFH"": [{""window_start"": 129, ""window_end"": 158, ""distance"": 1.67}, {""window_start"": 237, ""window_end"": 272, ""distance"": 2.14}, {""window_start"": 249, ""window_end"": 284, ""distance"": 2.16}, {""window_start"": 267, ""window_end"": 302, ""distance"": 1.68}, {""window_start"": 276, ""window_end"": 305, ""distance"": 1.86}, {""window_start"": 399, ""window_end"": 431, ""distance"": 1.51}], ""D2RK"": [{""window_start"": 87, ""window_end"": 119, ""distance"": 1.51}], ""MBBW"": [{""window_start"": 111, ""window_end"": 146, ""distance"": 1.77}], ""TTRG"": [{""window_start"": 114, ""window_end"": 146, ""distance"": 1.57}], ""9CKC"": [{""window_start"": 342, ""window_end"": 371, ""distance"": 1.58}], ""KH2X"": [{""window_start"": 372, ""window_end"": 404, ""distance"": 1.74}], ""4FH6"": [{""window_start"": 378, ""window_end"": 407, ""distance"": 1.73}], ""TTMD"": [{""window_start"": 282, ""window_end"": 317, ""distance"": 1.95}, {""window_start"": 291, ""window_end"": 326, ""distance"": 2.04}, {""window_start"": 300, ""window_end"": 335, ""distance"": 1.92}, {""window_start"": 309, ""window_end"": 341, ""distance"": 2.07}, {""window_start"": 321, ""window_end"": 353, ""distance"": 1.9}], ""F6RP"": [{""window_start"": 90, ""window_end"": 122, ""distance"": 1.91}], ""GWWD"": [{""window_start"": 81, ""window_end"": 116, ""distance"": 1.91}, {""window_start"": 90, ""window_end"": 119, ""distance"": 2.1}, {""window_start"": 228, ""window_end"": 263, ""distance"": 2.05}], ""KCDH"": [{""window_start"": 21, ""window_end"": 50, ""distance"": 1.89}], ""24PR"": [{""window_start"": 96, ""window_end"": 128, ""distance"": 2.02}], ""3Y4K"": [{""window_start"": 474, ""window_end"": 503, ""distance"": 1.99}], ""CTVZ"": [{""window_start"": 81, ""window_end"": 116, ""distance"": 2.04}], ""T4YH"": [{""window_start"": 267, ""window_end"": 296, ""distance"": 2.12}]}",0.92,0.73,0.82,0.1649,1.0,0.0,0.0,0.0,0.0,0.7137
9,T4YH,228,257,51,15,"{""TTMD"": [{""window_start"": 303, ""window_end"": 338, ""distance"": 1.83}, {""window_start"": 312, ""window_end"": 347, ""distance"": 1.19}, {""window_start"": 321, ""window_end"": 353, ""distance"": 1.89}, {""window_start"": 465, ""window_end"": 497, ""distance"": 1.69}, {""window_start"": 474, ""window_end"": 503, ""distance"": 1.72}], ""X2MP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 1.29}, {""window_start"": 285, ""window_end"": 314, ""distance"": 2.04}], ""F6RP"": [{""window_start"": 276, ""window_end"": 308, ""distance"": 1.41}], ""BCFH"": [{""window_start"": 243, ""window_end"": 278, ""distance"": 1.93}, {""window_start"": 276, ""window_end"": 305, ""distance"": 1.87}, {""window_start"": 294, ""window_end"": 329, ""distance"": 1.9}, {""window_start"": 399, ""window_end"": 431, ""distance"": 1.89}, {""window_start"": 408, ""window_end"": 437, ""distance"": 2.18}], ""CTVZ"": [{""window_start"": 78, ""window_end"": 113, ""distance"": 1.81}, {""window_start"": 87, ""window_end"": 116, ""distance"": 2.11}], ""KYVM"": [{""window_start"": 288, ""window_end"": 320, ""distance"": 1.74}], ""DF7J"": [{""window_start"": 66, ""window_end"": 101, ""distance"": 1.79}, {""window_start"": 75, ""window_end"": 104, ""distance"": 2.04}], ""MGT4"": [{""window_start"": 186, ""window_end"": 218, ""distance"": 1.81}, {""window_start"": 195, ""window_end"": 224, ""distance"": 1.88}], ""9CKC"": [{""window_start"": 357, ""window_end"": 392, ""distance"": 2.0}], ""4FH6"": [{""window_start"": 150, ""window_end"": 179, ""distance"": 1.95}, {""window_start"": 378, ""window_end"": 407, ""distance"": 1.83}], ""P3XV"": [{""window_start"": 240, ""window_end"": 269, ""distance"": 1.89}], ""KH2X"": [{""window_start"": 342, ""window_end"": 371, ""distance"": 2.09}], ""GWWD"": [{""window_start"": 81, ""window_end"": 110, ""distance"": 2.1}], ""RXMC"": [{""window_start"": 165, ""window_end"": 194, ""distance"": 2.16}], ""WCYT"": [{""window_start"": 225, ""window_end"": 254, ""distance"": 2.19}, {""window_start"": 234, ""window_end"": 263, ""distance"": 2.2}]}",0.82,0.68,0.75,0.1546,0.0,0.0,0.0,0.0,0.3333,0.99
10,WCYT,234,263,51,15,"{""J2RZ"": [{""window_start"": 144, ""window_end"": 173, ""distance"": 1.97}, {""window_start"": 255, ""window_end"": 290, ""distance"": 1.76}, {""window_start"": 264, ""window_end"": 296, ""distance"": 1.65}], ""BCFH"": [{""window_start"": 288, ""window_end"": 323, ""distance"": 1.74}, {""window_start"": 297, ""window_end"": 329, ""distance"": 1.93}, {""window_start"": 411, ""window_end"": 446, ""distance"": 2.09}], ""ZVZ3"": [{""window_start"": 105, ""window_end"": 140, ""distance"": 1.6}, {""window_start"": 114, ""window_end"": 143, ""distance"": 1.94}], ""9CKC"": [{""window_start"": 357, ""window_end"": 392, ""distance"": 1.69}, {""window_start"": 366, ""window_end"": 401, ""distance"": 1.95}], ""DF7J"": [{""window_start"": 57, ""window_end"": 92, ""distance"": 1.78}, {""window_start"": 66, ""window_end"": 95, ""distance"": 2.09}], ""KYVM"": [{""window_start"": 285, ""window_end"": 320, ""distance"": 1.83}], ""F6RP"": [{""window_start"": 75, ""window_end"": 110, ""distance"": 1.91}], ""VGBM"": [{""window_start"": 321, ""window_end"": 356, ""distance"": 1.92}], ""MBBW"": [{""window_start"": 111, ""window_end"": 146, ""distance"": 1.98}, {""window_start"": 165, ""window_end"": 194, ""distance"": 1.91}], ""3FTG"": [{""window_start"": 204, ""window_end"": 233, ""distance"": 1.9}], ""H634"": [{""window_start"": 72, ""window_end"": 107, ""distance"": 2.04}], ""MBKT"": [{""window_start"": 63, ""window_end"": 98, ""distance"": 2.01}], ""3Y4K"": [{""window_start"": 411, ""window_end"": 440, ""distance"": 2.13}], ""KCDH"": [{""window_start"": 21, ""window_end"": 50, ""distance"": 2.15}], ""T4YH"": [{""window_start"": 228, ""window_end"": 257, ""distance"": 2.2}]}",0.82,0.68,0.75,0.1546,0.4333,0.0,0.0,0.0,0.0,0.941
11,4FH6,378,407,49,15,"{""BCFH"": [{""window_start"": 237, ""window_end"": 272, ""distance"": 2.12}, {""window_start"": 270, ""window_end"": 305, ""distance"": 1.47}, {""window_start"": 285, ""window_end"": 320, ""distance"": 2.04}, {""window_start"": 399, ""window_end"": 434, ""distance"": 1.33}, {""window_start"": 408, ""window_end"": 437, ""distance"": 1.98}], ""TTMD"": [{""window_start"": 300, ""window_end"": 335, ""distance"": 1.4}, {""window_start"": 309, ""window_end"": 344, ""distance"": 1.78}, {""window_start"": 318, ""window_end"": 353, ""distance"": 1.94}, {""window_start"": 459, ""window_end"": 488, ""distance"": 2.01}, {""window_start"": 474, ""window_end"": 503, ""distance"": 2.19}], ""9CKC"": [{""window_start"": 342, ""window_end"": 377, ""distance"": 1.69}, {""window_start"": 351, ""window_end"": 383, ""distance"": 2.08}], ""CTVZ"": [{""window_start"": 81, ""window_end"": 110, ""distance"": 1.72}], ""H634"": [{""window_start"": 57, ""window_end"": 89, ""distance"": 1.94}], ""T4YH"": [{""window_start"": 228, ""window_end"": 263, ""distance"": 2.06}], ""X2MP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 2.03}], ""MBKT"": [{""window_start"": 51, ""window_end"": 80, ""distance"": 1.85}], ""VGBM"": [{""window_start"": 321, ""window_end"": 350, ""distance"": 1.88}], ""KYVM"": [{""window_start"": 279, ""window_end"": 311, ""distance"": 1.96}], ""GWWD"": [{""window_start"": 228, ""window_end"": 263, ""distance"": 2.1}], ""3Y4K"": [{""window_start"": 360, ""window_end"": 389, ""distance"": 2.03}], ""DF7J"": [{""window_start"": 57, ""window_end"": 86, ""distance"": 2.04}, {""window_start"": 72, ""window_end"": 101, ""distance"": 2.14}], ""F6RP"": [{""window_start"": 276, ""window_end"": 305, ""distance"": 2.11}], ""RXMC"": [{""window_start"": 162, ""window_end"": 191, ""distance"": 2.12}]}",0.79,0.68,0.74,0.1546,0.0,0.0,0.0,0.0,0.3333,0.9433
